stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
5009_01,,安楽満,,35.64659,137.44192,5009_01,,0,
5010_01,,付知のぞみ幼稚園,,35.64488,137.44377,5010_01,,0,
5011_01,,旧桂川商店前,,35.64256,137.44659,5011_01,,0,
5012_01,,鳥屋脇,,35.64082,137.44791,5012_01,,0,
5013_01,,中野,,35.63596,137.44711,5013_01,,0,
5014_01,,黒川谷,,35.63551,137.44396,5014_01,,0,
5015_01,,稲荷平集会所,,35.62981,137.43775,5015_01,,0,
5016_01,,野尻,,35.63991,137.43887,5016_01,,0,
5018_01,,東濃森林管理署,,35.64231,137.44185,5018_01,,0,
5019_01,,若宮集会所,,35.64136,137.43629,5019_01,,0,
5020_01,,中田集会所,,35.64297,137.43511,5020_01,,0,
5022_01,,回生堂医院,,35.64801,137.4323,5022_01,,0,
5023_01,,菓子上,,35.64976,137.4295,5023_01,,0,
5024_01,,プレカット,,35.65304,137.4275,5024_01,,0,
5025_01,,中屋,,35.66072,137.42149,5025_01,,0,
5026_01,,藤山,,35.66261,137.41915,5026_01,,0,
5027_01,,山本集会所,,35.66372,137.41701,5027_01,,0,
5028_01,,付知北小学校,,35.66633,137.41535,5028_01,,0,
5029_01,,JA大門支店,,35.668024,137.418658,5029_01,,0,
5030_01,,みお医院,,35.66983,137.42015,5030_01,,0,
5031_01,,大起口,,35.68129,137.41542,5031_01,,0,
5032_01,,権四薙,,35.68463,137.41615,5032_01,,0,
5033_01,,上大起,,35.68863,137.4178,5033_01,,0,
5034_01,,攻橋,,35.69856,137.42436,5034_01,,0,
5035_01,,下浦集会所,,35.69856,137.42989,5035_01,,0,
5036_01,,宮の上集会所,,35.69298,137.42446,5036_01,,0,
5037_01,,宮の上,,35.69056,137.42386,5037_01,,0,
5038_01,,向山（付知）,,35.67372,137.42189,5038_01,,0,
5039_01,,広島野住宅,,35.66876,137.42213,5039_01,,0,
5040_01,,付知峡倉屋温泉,,35.67552,137.4135,5040_01,,0,
5041_01,,倉屋,,35.67401,137.41405,5041_01,,0,
5042_01,,宗敦寺,,35.66801,137.41458,5042_01,,0,
5043_01,,下浦,,35.699723,137.432876,5043_01,,0,
5044_01,,付知峡不動公園口,,35.699553,137.437956,5044_01,,0,
5045_01,,大山神社,,35.666717,137.416295,5045_01,,0,
